Tag,Description,Status,Type,System,Responsible,Dimensions,Weight,Voltage,Current,Frequency,IP_Rating
P-85002,Gas Turbine Generator,Active,Gas Turbine,85,Company X,4000x8000x4000 mm,20000 kg,NA,NA,NA,IP55
P-85003,Cooling Tower,Active,Cooling System,85,Company X,6000x6000x12000 mm,8000 kg,NA,NA,NA,IP56
I-86001,Instrument Air Compressor,Active,Air Compressor,86,Company X,1500x2000x1200 mm,1200 kg,NA,NA,NA,IP54
I-86002,Process Control Panel,Active,Control Panel,86,Company X,600x1000x300 mm,100 kg,24 V DC,10 A,NA,IP65
I-86003,Pressure Transmitter,Active,Transmitter,86,Company X,200x200x150 mm,2 kg,24 V DC,NA,NA,IP67
I-86004,Temperature Gauge,Active,Gauge,86,Company X,100x100x80 mm,0.5 kg,NA,NA,NA,IP54
I-86005,Level Sensor,Active,Sensor,86,Company X,150x500x150 mm,1 kg,24 V DC,NA,NA,IP68
I-86006,Flow Meter,Active,Meter,86,Company X,200x400x200 mm,10 kg,24 V DC,NA,NA,IP65
E-87001,Electrical Heat Tracing Panel,Active,Heat Tracing Panel,87,Company X,1200x2000x600 mm,300 kg,400 V,500 A,50 Hz,IP55
E-87002,Electrical Heating Cable,Active,Heating Cable,87,Company X,NA,NA,230 V,NA,NA,IP67
E-87003,Heated Insulation Blanket,Active,Heating Blanket,87,Company X,1000x2000 mm,5 kg,230 V,NA,NA,IP65
S-88001,Steel Structural Frame,Active,Structure,88,Company X,10000x12000x10000 mm,20000 kg,NA,NA,NA,NA
S-88002,Piping Rack Structure,Active,Structure,88,Company X,8000x12000x8000 mm,15000 kg,NA,NA,NA,NA
S-88003,Handrail and Walkways System,Active,Access System,88,Company X,NA,NA,NA,NA,NA,NA
N-89001,Modular Office Building,Active,Modular Building,89,Company X,12000x24000x3000 mm,30000 kg,NA,NA,NA,NA
N-89002,Temporary Construction Equipment,Active,Construction Equipment,89,Company X,NA,NA,NA,NA,NA,NA
N-89003,Specialized Tool Kit,Active,Tool Kit,89,Company X,NA,NA,NA,NA,NA,NA
E-80001,High Voltage Switchgear,Operational,Switchgear,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Transformator T1,Operational,Transformer,80,Company X,2000x5000x4000 mm,12000 kg,145 kV,1500 A,50 Hz,IP44
E-80003,Generator G1,Operational,Generator,81,Company X,3000x6000x3000 mm,15000 kg,11 kV,2150 A,60 Hz,IP23
E-80004,Medium Voltage Switchboard,Operational,Switchboard,82,Company X,1500x4000x2000 mm,5000 kg,34.5 kV,850 A,50 Hz,IP54
E-80005,Distribution Transformer DT2,Maintenance,Transformer,83,Company X,1500x3000x2500 mm,8000 kg,34.5 kV,1200 A,60 Hz,IP44
E-80006,Emergency Diesel Generator,Operational,Generator,84,Company X,2500x5000x3000 mm,9000 kg,690 V,2000 A,50 Hz,IP23
E-80007,Battery Charger BC1,Operational,Battery Charger,85,Company X,800x1200x600 mm,200 kg,480 V,50 A,50 Hz,IP22
E-80008,Ups System U1,Operational,UPS,86,Company X,1600x2000x1900 mm,1000 kg,400 V,250 A,50 Hz,IP21
E-80009,Power Management System,Maintenance,Control System,87,Company X,600x800x1800 mm,300 kg,240 V,10 A,50 Hz,IP20
E-80010,Low Voltage Distribution Panel,Operational,Distribution Panel,88,Company X,700x2000x2100 mm,600 kg,400 V,600 A,50 Hz,IP54
E-80011,Heat Trace Panel HTP1,Operational,Control Panel,88,Company X,500x1500x1900 mm,300 kg,230 V,40 A,50 Hz,IP66
E-80012,Motor Control Center MCC1,Operational,MCC,82,Company X,2000x6000x2200 mm,8000 kg,1.1 kV,1200 A,60 Hz,IP54
E-80013,Variable Frequency Drive V1,Operational,VFD,82,Company X,1000x2000x1900 mm,700 kg,690 V,400 A,50 Hz,IP55
E-80014,Standby Generator G2,In Repair,Generator,81,Company X,3000x6000x3000 mm,16000 kg,11 kV,2000 A,60 Hz,IP23
E-80015,Local Control Station LCS1,Operational,Control Station,89,Company X,500x700x400 mm,120 kg,24 V,10 A,DC,IP66
E-80016,Fire and Gas Detection System,Operational,FGD,87,Company X,600x800x1800 mm,250 kg,24 V,5 A,DC,IP65
E-80017,Power Factor Correction PFC1,Operational,PFC,85,Company X,800x1200x600 mm,500 kg,400 V,300 A,50 Hz,IP43
E-80018,Lighting Distribution Panel LDP1,Operational,Distribution Panel,88,Company X,500x1500x2000 mm,400 kg,230 V,200 A,50 Hz,IP65
E-80019,Uninterruptible Power Supply UPS2,Maintenance,UPS,86,Company X,1100x2000x1900 mm,1000 kg,230 V,300 A,50 Hz,IP21
E-80020,Solar Inverter SI1,Operational,Inverter,89,Company X,600x1200x400 mm,150 kg,48 V,60 A,DC,IP68
E-80021,High Bay Lighting Fixture HBL1,Operational,Lighting Fixture,89,Company X,300x1200x100 mm,5 kg,110 V,0.5 A,50 Hz,IP67
E-80022,Circuit Breaker CB1,Operational,Breaker,82,Company X,400x600x300 mm,30 kg,11 kV,1250 A,50 Hz,IP54
E-80023,Soft Starter SS1,Operational,Soft Starter,82,Company X,600x800x400 mm,40 kg,400 V,300 A,50 Hz,IP54
E-80024,Control Relay Panel CRP1,Operational,Relay Panel,87,Company X,400x600x200 mm,25 kg,230 V,10 A,50 Hz,IP66
E-80025,Frequency Converter FC1,Operational,Converter,85,Company X,800x1000x600 mm,75 kg,400 V,150 A,60 Hz,IP55
E-80026,Explosion Proof Junction Box EPJB1,Operational,Junction Box,89,Company X,300x300x200 mm,15 kg,230 V,20 A,DC,IP66
E-80027,Induction Motor IM1,Operational,Induction Motor,82,Company X,900x1200x800 mm,780 kg,400 V,150 A,50 Hz,IP55
E-80028,Pressure Transmitter PT1,Operational,Transmitter,87,Company X,100x140x120 mm,1.5 kg,24 V,20 mA,DC,IP67
E-80029,Flow Meter FM1,Operational,Flow Meter,87,Company X,250x300x150 mm,6 kg,24 V,4-20 mA,DC,IP68
E-80030,Temperature Controller TC1,Operational,Controller,87,Company X,160x160x80 mm,0.8 kg,24 V,10 A,DC,IP65
E-80031,Programmable Logic Controller PLC1,Operational,PLC,87,Company X,600x800x300 mm,20 kg,24 V,2 A,DC,IP20
E-80032,HVAC Control Panel HCP1,Operational,HVAC Panel,87,Company X,800x1200x600 mm,300 kg,230 V,15 A,50 Hz,IP54
E-80033,Surge Protection Device SPD1,Operational,Surge Protector,89,Company X,100x200x150 mm,3 kg,400 V,40 kA,50 Hz,IP20
E-80034,Gas Detection Panel GDP1,Operational,Detection Panel,87,Company X,400x600x200 mm,22 kg,24 V,100 mA,DC,IP66
E-80035,Navigation Lighting Panel NLP1,Operational,Lighting Panel,88,Company X,300x500x200 mm,15 kg,110 V,10 A,50 Hz,IP56
E-80036,Auto Transformer AT1,Operational,Transformer,82,Company X,1200x1800x1300 mm,1300 kg,34.5 kV,850 A,50 Hz,IP00
E-80037,Capacitor Bank CB2,Operational,Capacitor,85,Company X,2000x5000x1500 mm,5000 kg,400 V,600 A,50 Hz,IP00
E-80038,Galvanic Isolator GI1,Operational,Isolator,89,Company X,150x250x130 mm,2 kg,24 V,1 A,DC,IP68
E-80039,Instrument Air Compressor IAC1,Operational,Compressor,83,Company X,1500x2500x1800 mm,850 kg,400 V,10 A,50 Hz,IP65
E-80040,Pneumatic Actuator PA1,Operational,Actuator,87,Company X,300x300x400 mm,25 kg,N/A,N/A,N/A,IP66
E-80041,Safety Shut-Down System SSDS1,Operational,Shutdown System,89,Company X,800x1200x400 mm,150 kg,24 V,1 A,DC,IP55
E-80042,Power Supply Module PSM1,Operational,Power Supply,87,Company X,200x300x100 mm,5 kg,24 V,5 A,DC,IP30
E-80043,Busbar System BB1,Operational,Busbar,80,Company X,300x5000x300 mm,120 kg,11 kV,3000 A,50 Hz,IP00
E-80044,Cable Tray System CT1,Installation,Tray,88,Company X,Variable Sizes,Variable Weights,N/A,N/A,N/A,N/A
E-80045,Level Switch LS1,Operational,Switch,87,Company X,100x100x150 mm,0.5 kg,24 V,0.2 A,DC,IP67
E-80046,Flame Detector FD1,Operational,Detector,87,Company X,120x160x90 mm,1.2 kg,24 V,50 mA,DC,IP66
E-80047,Smoke Detector SD1,Operational,Detector,87,Company X,100x100x50 mm,0.3 kg,24 V,70 mA,DC,IP42
E-80048,Floodlight FL1,Operational,Lighting,88,Company X,400x300x250 mm,9 kg,230 V,0.8 A,50 Hz,IP65
E-80049,Pressure Gauge PG1,Operational,Gauge,87,Company X,150x150x80 mm,0.6 kg,N/A,N/A,N/A,IP54
E-80050,Horn Hooter HH1,Operational,Hooter,89,Company X,100x100x200 mm,1 kg,24 V,0.5 A,DC,IP66
E-80001,High Voltage Switchgear,Active,Switchgear,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Diesel Generator Set,Operational,Generator,81,Company Y,3500x1500x2000 mm,5000 kg,600 V,500 A,60 Hz,IP23
T-81001,Transformer Unit,Active,Transformer,81,Company X,2500x2000x1500 mm,10000 kg,33 kV,1500 A,50 Hz,IP55
D-82001,AC/DC Distribution Panel,Maintenance,Distribution Board,82,Company Z,800x600x2200 mm,750 kg,440 V,1600 A,60 Hz,IP52
L-83001,Lighting Panel,Operational,Panel,83,Company X,600x600x2100 mm,300 kg,230 V,400 A,50 Hz,IP44
C-84001,Cable Junction Box,Active,Junction Box,84,Company Y,400x400x400 mm,25 kg,110 V,100 A,50 Hz,IP66
P-85001,Power Management System,Commissioning,Control System,85,Company Z,1200x800x1800 mm,480 kg,110 V,20 A,60 Hz,IP21
B-86001,Backup UPS,Active,UPS,86,Company X,600x800x1500 mm,200 kg,240 V,50 A,50 Hz,IP22
I-87001,Instrument Power Supply,Operational,Power Supply,87,Company Y,300x500x700 mm,15 kg,24 V,10 A,DC,IP20
V-88001,Voltage Converter,Active,Converter,88,Company X,200x300x500 mm,10 kg,240 V to 24 V,5 A,AC/DC,IP30
E-88002,Electrical Heat Tracing,Operational,Heating,88,Company Z,1000x10 mm,5 kg/m,110 V,15 A,AC,IP55
M-89001,Motor Operated Valve,Active,Actuator,89,Company Y,500x600x400 mm,150 kg,400 V,6 A,60 Hz,IP66
R-89002,Remote IO Panel,Commissioning,Panel,89,Company X,800x500x200 mm,60 kg,24 V,5 A,DC,IP65
S-89003,Pneumatic Solenoid Valves,Active,Valve,89,Company Z,100x150x100 mm,2 kg,24 V,1 A,DC,IP67
F-89004,Flame Detector,Operational,Sensor,89,Company Y,150x100x100 mm,1.5 kg,24 V,500 mA,DC,IP44
G-89005,Gas Detector,Active,Sensor,89,Company X,160x160x90 mm,1.2 kg,24 V,400 mA,DC,IP54
H-89006,Pressure Transmitter,Commissioning,Transmitter,89,Company Z,100x80x120 mm,0.8 kg,24 V,20 mA,DC,IP66
T-89007,Temperature Sensor,Active,Sensor,89,Company Y,200x50x50 mm,0.5 kg,24 V,10 mA,DC,IP68
L-89008,Level Transmitter,Operational,Transmitter,89,Company X,250x100x120 mm,1 kg,24 V,4-20 mA,DC,IP67
E-89009,Emergency Lighting,Active,Lighting,89,Company Z,300x200x100 mm,2.5 kg,110 V,1 A,50 Hz,IP65
S-89010,Smoke Detector,Operational,Sensor,89,Company Y,100x100x50 mm,0.3 kg,24 V,200 mA,DC,IP30
A-89011,Air Quality Sensor,Active,Sensor,89,Company X,120x120x80 mm,0.6 kg,24 V,150 mA,DC,IP42
W-89012,Water Quality Monitor,Commissioning,Monitor,89,Company Z,300x200x150 mm,2 kg,24 V,250 mA,DC,IP68
